ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln 
18921946.slha 701.065357 -650.837642 651.382345 50.22771499999999 0.0 0.0 0.0 0.0 0.0 0.0 
19040724.slha 368.975838 -318.556248 320.575535 50.41959000000003 0.000810609881 0.22293952509999998 0.0341415105 0.0688416142 0.449133376 0.22413336539999998 
19739635.slha 481.19483 -430.801547 432.928517 50.393283 0.000705136733 0.228053847 0.035088087000000004 0.07048209829999999 0.44407702 0.22159381239999998 
1989563.slha 230.452744 -180.708643 183.384046 49.744101 0.00193516649 0.22725594179999997 0.0348724272 0.0700092991 0.444438896 0.22148827119999998 
19997378.slha -448.043255 398.542814 400.428081 49.50044099999997 0.000723203978 0.222626783 0.0342186796 0.0686266993 0.449547656 0.22425697979999998 
2108614.slha -497.390583 447.112803 448.809022 50.27778000000001 0.000468039967 0.2197109297 0.0337306578 0.0675677226 0.452640388 0.22588226300000003 
2131494.slha -984.544172 934.998348 936.482869 49.54582400000004 0.000196001223 0.21941161280000002 0.033668839000000006 0.0675559843 0.453093748 0.2260738162 
2215859.slha -439.272517 388.994498 391.156299 50.27801899999997 0.00082263009 0.2269606222 0.0348109282 0.0698108255 0.44543054 0.222164455 
222278.slha 814.072307 -764.197831 765.729889 49.87447600000007 0.000254014328 0.21884791280000002 0.033767825200000004 0.0676417664 0.453305372 0.22618311019999998 
2805761.slha 603.701014 -553.883578 554.92666 49.81743599999993 0.000337029056 0.20893338439999998 0.032168448100000004 0.064548731 0.463014608 0.2309978012 
2869203.slha 942.256762 -892.526054 894.313405 49.730707999999936 0.000184409935 0.22372996960000002 0.0344955593 0.06921543699999999 0.448577472 0.223797154 
3018241.slha 572.527849 -522.858455 524.048145 49.6693939999999 0.000470443638 0.2114323664 0.0325137155 0.0652526487 0.460626224 0.22970453600000001 
3279855.slha -158.762215 109.130306 115.159468 49.63190899999999 0.0043387309 0.2719469929 0.0417748215 0.0837926159 0.3990982664 0.19904857239999998 
3378723.slha 286.878572 -236.850088 239.672341 50.02848400000002 0.00164149908 0.23419500189999998 0.0357254474 0.0723789776 0.437336556 0.21872251820000002 
3422103.slha 948.894691 -899.303686 900.482493 49.591004999999996 0.000337106445 0.21286930799999998 0.032740585 0.0656417183 0.459386876 0.2290244058 
3682156.slha -250.778976 200.533867 204.23772 50.245109000000014 0.00186135841 0.2472142155 0.0379877134 0.0761753968 0.424827284 0.21193403100000002 
4205404.slha 424.712405 -374.450257 377.149641 50.26214799999997 0.00104402954 0.2375862547 0.0364322254 0.07321046070000001 0.434764924 0.2169621076 
4275018.slha 509.01968 458.658905 483.255658 50.36077499999999 0.089455068 0.015569634039999999 0.002048118382 0.00476081152 0.592087376 0.296078992 
4369514.slha -158.910407 108.4418 113.015539 50.46860699999999 0.00303823105 0.24472065289999997 0.0375365251 0.0752105401 0.42671852 0.2127755324 
4477325.slha 291.853222 -241.503212 243.875294 50.350010000000026 0.0011470037 0.2263590476 0.0347991868 0.06981834649999999 0.445594532 0.2222818848 
4618286.slha -277.950062 228.259656 231.656875 49.690405999999996 0.00151094223 0.24548943520000002 0.0377203932 0.07565425719999999 0.42675936 0.21286561319999997 
